date,equity,regime,n_holdings
2020-04-01,1000054.794520548,BEAR,0
2020-04-03,1000109.5920435354,BEAR,0
2020-04-07,1000164.3925691269,BEAR,0
2020-04-08,1000219.1960974869,BEAR,0
2020-04-09,1000274.00262878,BEAR,0
2020-04-13,1000228.8121631707,BULL,5
2020-04-15,1022796.4606527371,BULL,5
2020-04-16,1004920.8155991806,BULL,5
2020-04-17,1026933.2491357969,BULL,5
2020-04-20,1028604.7097116313,BULL,5
2020-04-21,1019332.3504733355,BULL,5
2020-04-22,1025862.8747771104,BULL,5
2020-04-23,1027140.9182465186,BULL,5
2020-04-24,1022436.1626168574,BULL,5
2020-04-27,1028926.1629821304,BULL,5
2020-04-28,1028123.8415630205,BULL,5
2020-04-29,1032970.4032320868,BULL,5
2020-04-30,1039703.2768008724,BULL,5
2020-05-04,1013254.8365339525,BULL,5
2020-05-05,1013047.537059951,BULL,5
2020-05-06,1021661.8140236962,BULL,5
2020-05-07,997264.9083658672,BULL,5
2020-05-08,1019505.4776855665,BULL,5
2020-05-11,1009859.733945513,BULL,5
2020-05-12,1004093.5396714899,BULL,5
2020-05-13,1018429.4298739992,BULL,5
2020-05-14,1018754.4770918259,BULL,5
2020-05-15,988041.6882671778,BULL,5
2020-05-18,987955.9553920226,BULL,5
2020-05-19,969638.8696937647,BULL,5
2020-05-20,977772.5533222995,BULL,5
2020-05-21,980869.3055568008,BULL,5
2020-05-22,971990.2764146707,BULL,5
2020-05-26,979230.9300367432,BULL,5
2020-05-27,988907.3232227297,BULL,5
2020-05-28,1001466.3190717346,BULL,5
2020-05-29,1006951.4388831146,BULL,5
2020-06-01,1047330.5971497425,BULL,5
2020-06-02,1045464.7074548804,BULL,5
2020-06-03,1057331.7388389043,BULL,5
2020-06-04,1058327.3581649398,BULL,5
2020-06-05,1063965.3149145886,BULL,5
2020-06-08,1075548.302415359,BULL,5
2020-06-09,1062317.2367735512,BULL,5
2020-06-10,1069301.3325519813,BULL,5
2020-06-11,1060976.7605636967,BULL,5
2020-06-12,1053152.4265379582,BULL,5
2020-06-15,1055033.6362083857,BULL,5
2020-06-16,1053985.951777533,BULL,5
2020-06-17,1053326.4267005255,BULL,5
2020-06-18,1052386.5671251637,BULL,5
2020-06-19,1056926.6477131639,BULL,5
2020-06-22,1078080.842319701,BULL,5
2020-06-23,1086753.770062715,BULL,5
2020-06-24,1094611.875914319,BULL,5
2020-06-25,1088768.8952855591,BULL,5
2020-06-26,1089730.8163843125,BULL,5
2020-06-29,1084059.5493306401,BULL,5
2020-06-30,1089353.355124702,BULL,5
2020-07-01,1090978.3287062661,BULL,5
2020-07-02,1099685.8914163578,BULL,5
2020-07-03,1108256.4698408076,BULL,5
2020-07-06,1120992.538688806,BULL,5
2020-07-07,1122666.4879023368,BULL,5
2020-07-08,1118104.1828305572,BULL,5
2020-07-09,1123566.6929742524,BULL,5
2020-07-10,1123010.514572249,BULL,5
2020-07-13,1124762.18204013,BULL,5
2020-07-14,1112389.7992480637,BULL,5
2020-07-15,1116118.3703799327,BULL,5
2020-07-16,1115777.8719846671,BULL,5
2020-07-17,1130217.7606976014,BULL,5
2020-07-20,1142194.641202243,BULL,5
2020-07-21,1154287.5145302967,BULL,5
